Keyword,Volume,Trend,Growth %,SEO Score,Competition,Avg CPC,Branded,Topics,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026
"ai tools free",22200,"stable -13%","-13%",31,"0.57","$0.00",No,"Length: Body (3–4 words) · Seasonality: Evergreen",390,390,720,590,1300,4400,5400,6600,8100,9900,14800,18100,18100,18100,14800,14800,18100,18100,22200,22200,27100,22200,18100,14800,18100,22200,22200,18100,22200,27100,27100,33100,27100,27100,27100,27100,27100,27100,22200,18100,18100,22200,18100,22200,22200,22200,22200,22200
"free photo ai",2900,"growing 61%","+61%",32,"0.44","$0.00",No,"Length: Body (3–4 words) · Seasonality: Evergreen",70,90,110,140,720,590,590,1000,1600,1900,2400,2900,2900,2900,3600,2900,3600,3600,2900,2900,2900,2900,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2900,2400,2400,2400,1900,2400,2400,1900,2900,2400,2400,2900,2900,3600,3600,3600
"photo ai",110000,"stable -10%","-10%",48,"0.43","$0.00",No,"Length: Head (1–2 words) · Seasonality: Evergreen",3600,5400,5400,9900,27100,22200,27100,49500,60500,60500,74000,74000,74000,90500,90500,90500,110000,110000,110000,90500,90500,90500,90500,135000,110000,135000,135000,135000,110000,110000,90500,110000,110000,90500,110000,90500,74000,135000,135000,110000,110000,110000,90500,110000,110000,110000,110000,90500
"photo tools",6600,"declining -64%","-64%",59,"0.07","$0.00",No,"Length: Head (1–2 words) · Seasonality: Peaks in October",2400,5400,135000,74000,3600,3600,2900,3600,2900,4400,3600,4400,5400,18100,301000,135000,8100,8100,5400,6600,5400,5400,4400,6600,5400,18100,246000,110000,8100,8100,6600,5400,5400,5400,4400,5400,6600,12100,18100,6600,5400,4400,5400,5400,4400,4400,4400,4400
"photo resizer free",8100,"stable 7%","+7%",48,"0.26","$0.00",No,"Contains: photo resizer free · Length: Body (3–4 words) · Seasonality: Evergreen",2900,4400,5400,6600,5400,6600,6600,8100,6600,6600,6600,6600,6600,6600,9900,8100,6600,6600,6600,6600,5400,5400,5400,5400,4400,5400,8100,6600,6600,8100,8100,6600,6600,6600,6600,6600,8100,6600,6600,8100,8100,8100,8100,8100,6600,6600,8100,8100
"free ai tools",90500,"growing 615%","+615%",77,"0.07","$0.01",No,"Length: Body (3–4 words) · Seasonality: Peaks in June",1300,1600,1600,1600,4400,9900,9900,12100,14800,22200,22200,27100,22200,22200,18100,18100,18100,22200,22200,22200,22200,22200,27100,22200,27100,27100,27100,27100,33100,40500,27100,33100,33100,33100,33100,33100,33100,33100,33100,27100,27100,33100,33100,40500,74000,40500,368000,301000
"free editor",14800,"growing 40%","+40%",54,"0.22","$0.00",No,"Length: Head (1–2 words) · Seasonality: Evergreen",12100,12100,12100,9900,9900,9900,9900,9900,9900,12100,9900,9900,9900,9900,9900,9900,9900,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,9900,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,14800,14800,18100,14800,18100,18100,18100,18100,14800
"ai photo free",9900,"growing 52%","+52%",45,"0.33","$0.00",No,"Length: Body (3–4 words) · Seasonality: Evergreen",70,70,140,260,2400,1600,1300,1600,3600,4400,5400,6600,3600,3600,8100,8100,8100,8100,8100,8100,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,8100,8100,5400,5400,5400,4400,9900,9900,6600,9900,8100,8100,9900,9900,12100,14800,9900
"my images",49500,"growing 107%","+107%",77,"0.02","$0.00",No,"Length: Head (1–2 words) · Seasonality: Evergreen",27100,49500,49500,18100,40500,27100,14800,12100,18100,18100,12100,9900,12100,9900,9900,8100,8100,9900,9900,9900,8100,8100,8100,8100,8100,9900,8100,8100,8100,9900,8100,9900,9900,14800,14800,22200,27100,33100,40500,33100,33100,49500,49500,60500,60500,74000,74000,60500
"photo apps",90500,"stable -13%","-13%",74,"0.11","$0.00",No,"Length: Head (1–2 words) · Seasonality: Evergreen",110000,110000,90500,90500,110000,110000,90500,90500,90500,90500,74000,74000,74000,74000,90500,74000,74000,90500,74000,90500,90500,90500,90500,90500,90500,74000,90500,90500,90500,90500,74000,74000,74000,74000,74000,90500,90500,110000,110000,90500,110000,90500,74000,90500,90500,90500,90500,90500
"photo images",22200,"stable -7%","-7%",70,"0.04","$0.01",No,"Length: Head (1–2 words) · Seasonality: Evergreen",27100,27100,27100,27100,27100,27100,22200,27100,27100,27100,22200,22200,22200,22200,22200,22200,22200,22200,22200,27100,22200,27100,27100,27100,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,27100,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200
"add photo",9900,"growing 22%","+22%",65,"0.03","$0.00",No,"Contains: add photo · Length: Head (1–2 words) · Seasonality: Evergreen",5400,4400,5400,6600,6600,8100,6600,8100,8100,8100,6600,8100,8100,6600,6600,6600,6600,6600,6600,6600,5400,6600,6600,6600,8100,8100,8100,6600,8100,8100,6600,8100,6600,6600,6600,8100,8100,9900,8100,8100,8100,9900,8100,8100,8100,9900,9900,12100
"free ai photo",4400,"growing 50%","+50%",33,"0.46","$0.00",No,"Length: Body (3–4 words) · Seasonality: Evergreen",90,110,170,210,1900,1000,880,1300,1600,1900,2400,2900,2900,2900,5400,3600,4400,5400,4400,4400,4400,3600,3600,3600,3600,3600,3600,3600,4400,3600,3600,3600,3600,3600,2900,2900,2900,3600,3600,3600,5400,5400,4400,5400,5400,5400,5400,4400
"photo to ai",2400,"declining -52%","-52%",35,"0.38","$0.00",No,"Contains: photo to · Contains: photo to ai · Length: Body (3–4 words) · Seasonality: Evergreen",140,260,260,590,4400,2400,1900,2400,2900,3600,4400,4400,4400,4400,5400,5400,5400,5400,5400,5400,4400,5400,4400,4400,4400,4400,4400,4400,4400,4400,4400,6600,5400,4400,3600,2900,2900,2900,2900,2400,2400,2400,2900,2400,1600,1600,1300,1300
"image ai free",4400,"stable 7%","+7%",35,"0.43","$0.00",No,"Length: Body (3–4 words) · Seasonality: Evergreen",210,390,390,390,720,1300,1300,1900,3600,3600,3600,3600,3600,3600,4400,4400,5400,5400,6600,6600,6600,5400,4400,4400,4400,5400,5400,5400,5400,5400,5400,5400,6600,5400,4400,3600,3600,3600,4400,3600,4400,4400,3600,4400,4400,4400,4400,3600
"add image to photo",14800,"declining -41%","-41%",60,"0.14","$0.00",No,"Contains: to photo · Length: Body (3–4 words) · Seasonality: Evergreen",9900,9900,12100,9900,12100,12100,9900,12100,12100,12100,12100,12100,12100,12100,12100,12100,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,18100,14800,18100,18100,14800,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,14800,14800,14800,12100,12100,9900,9900
"photo picture",22200,"growing 41%","+41%",62,"0.15","$0.01",No,"Length: Head (1–2 words) · Seasonality: Evergreen",33100,33100,27100,27100,27100,27100,27100,27100,27100,33100,33100,27100,33100,27100,33100,33100,33100,33100,33100,33100,33100,33100,33100,27100,22200,22200,27100,33100,27100,27100,18100,22200,22200,22200,18100,22200,22200,22200,22200,22200,22200,22200,18100,22200,22200,22200,22200,49500
"google my photos",6600,"stable -7%","-7%",63,"0.01","$0.00",No,"Length: Body (3–4 words) · Seasonality: Peaks in July",6600,8100,6600,6600,6600,6600,6600,6600,5400,6600,12100,27100,18100,12100,9900,9900,9900,9900,8100,8100,8100,8100,6600,8100,8100,6600,6600,6600,6600,9900,8100,8100,8100,6600,8100,8100,6600,8100,6600,5400,5400,5400,5400,6600,5400,6600,6600,6600
"free ai image",27100,"growing 33%","+33%",41,"0.44","$0.01",No,"Contains: free ai image · Length: Body (3–4 words) · Seasonality: Evergreen",1300,1900,1900,2400,5400,6600,6600,9900,14800,18100,18100,18100,18100,18100,27100,27100,33100,33100,33100,33100,33100,33100,33100,27100,27100,33100,33100,27100,33100,33100,27100,33100,33100,27100,27100,22200,22200,22200,22200,22200,27100,33100,27100,27100,27100,33100,33100,22200
"multiple photos in one photo",480,"declining -24%","-24%",31,"0.3","$0.00",No,"Contains: multiple photos · Contains: in one photo · Contains: multiple photos in · Contains: photos in one · Length: Long tail (5+ words) · Seasonality: Evergreen",1600,1600,1600,1300,1600,1600,1300,1600,1600,1600,1300,1300,1300,1300,1300,1000,1300,1600,1000,1000,1000,880,1000,1000,1000,880,880,1000,880,880,880,720,720,590,590,590,590,590,590,590,590,480,480,480,390,480,480,390
"google photo upload",3600,"growing 31%","+31%",59,"0.01","$0.01",No,"Length: Body (3–4 words) · Seasonality: Evergreen",5400,5400,5400,5400,5400,6600,5400,5400,5400,5400,5400,5400,5400,5400,5400,4400,4400,5400,4400,4400,4400,4400,4400,4400,4400,3600,3600,3600,4400,4400,4400,4400,3600,3600,3600,3600,3600,3600,2900,2900,2900,3600,2900,3600,3600,4400,4400,4400
"image metadata",8100,"stable -18%","-18%",63,"0.03","$0.00",No,"Length: Head (1–2 words) · Seasonality: Evergreen",8100,6600,8100,8100,22200,18100,9900,9900,9900,9900,8100,9900,9900,9900,9900,8100,8100,9900,8100,9900,9900,9900,9900,9900,9900,9900,9900,8100,8100,9900,8100,9900,9900,8100,12100,12100,9900,9900,9900,9900,8100,8100,8100,9900,8100,8100,8100,8100
"photo add",5400,"stable -13%","-13%",57,"0.09","$0.00",No,"Length: Head (1–2 words) · Seasonality: Evergreen",2400,2400,1900,2400,2400,2900,2400,3600,2900,2900,2900,3600,3600,2900,3600,2900,3600,4400,4400,4400,3600,4400,4400,4400,4400,4400,5400,4400,4400,5400,5400,5400,5400,4400,4400,5400,5400,6600,6600,5400,5400,5400,4400,4400,4400,5400,5400,5400
"batch photo editor",1600,"growing 83%","+83%",35,"0.34","$0.01",No,"Length: Body (3–4 words) · Seasonality: Peaks in May",880,880,880,880,880,1000,880,1000,1000,1000,1000,1000,1300,1300,1000,1300,1000,1900,1600,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1600,1300,1300,1000,1000,1000,1300,1000,1000,880,1000,2900,3600,1000,880
"batch photo",1000,"stable 0%","0%",49,"0.02","$0.02",No,"Length: Head (1–2 words) · Seasonality: Evergreen",880,880,880,880,720,880,880,880,880,720,880,720,1000,1000,1000,880,880,880,1000,1000,880,880,720,880,1000,1000,1000,880,880,1000,1000,1300,1300,1300,880,1000,1300,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1300
"free photo tool",880,"declining -23%","-23%",48,"0.03","$0.03",No,"Length: Body (3–4 words) · Seasonality: Evergreen",1600,1900,1900,1900,1600,2400,2400,1900,1600,1600,1300,1300,1600,1600,1900,1600,1600,1600,1600,1600,1600,1300,1000,1300,1300,1000,1300,1300,1000,1000,1000,1000,1000,880,880,880,880,880,880,880,880,880,880,880,880,720,590,720
"upload photos to google photos",880,"declining -25%","-25%",48,"0.02","$0.01",No,"Contains: google photos · Contains: to google photos · Contains: upload photos to · Length: Long tail (5+ words) · Seasonality: Evergreen",1300,1000,1000,1000,1000,1000,880,1000,1000,1300,1300,1300,1300,1300,1300,1000,1000,1300,1000,1000,1300,1300,480,390,390,720,720,720,880,1000,880,1000,1000,1000,1000,1000,1000,1000,880,880,880,880,880,880,880,720,720,720
"geotag photos",33100,"growing 24%","+24%",58,"0.23","$0.00",No,"Length: Head (1–2 words) · Seasonality: Evergreen",9900,9900,8100,9900,9900,14800,12100,12100,9900,9900,9900,9900,14800,14800,14800,12100,12100,18100,14800,14800,14800,14800,18100,22200,18100,22200,22200,18100,18100,22200,22200,27100,33100,27100,33100,33100,27100,33100,27100,27100,27100,33100,27100,27100,27100,27100,40500,40500
"photo free editor",90500,"stable 0%","0%",52,"0.37","$0.01",No,"Length: Body (3–4 words) · Seasonality: Evergreen",90500,74000,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500,110000,110000,90500,90500,90500,110000,90500,90500,90500,90500,90500,165000,135000,110000,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500,74000,74000,90500,90500,90500,90500
"your photo",5400,"stable 0%","0%",60,"0.04","$0.01",No,"Contains: your photo · Length: Head (1–2 words) · Seasonality: Evergreen",12100,14800,27100,27100,27100,22200,22200,22200,22200,22200,22200,22200,18100,18100,18100,14800,14800,14800,12100,14800,12100,12100,12100,9900,9900,8100,8100,6600,6600,6600,6600,6600,5400,5400,5400,5400,5400,5400,5400,5400,5400,6600,5400,5400,5400,5400,5400,5400
"ai photo tools",1300,"stable -16%","-16%",26,"0.5","$0.01",No,"Length: Body (3–4 words) · Seasonality: Evergreen",110,90,210,260,880,590,720,880,1000,1300,1900,1600,1600,1600,1600,1600,1900,1600,1600,1600,1600,1300,1300,1000,1300,1000,1900,1300,1300,1300,1300,1600,1300,1000,1000,1300,1000,1900,1600,1300,1900,1300,1000,1300,1000,1600,1300,880
"ai tool for photos",590,"declining -48%","-48%",18,"0.6","$0.01",No,"Length: Body (3–4 words) · Seasonality: Evergreen",90,90,320,320,590,1300,1600,1900,2400,2400,3600,3600,2900,2400,2400,1900,2400,1900,1600,1600,1300,1300,1000,1000,1000,1000,1000,880,880,1000,880,1000,720,590,590,590,390,720,1000,1600,590,480,390,390,390,390,390,320
"metadata photo",1600,"stable -17%","-17%",52,"0.03","$0.00",No,"Length: Head (1–2 words) · Seasonality: Evergreen",2400,2400,2400,2400,2900,2900,2400,2900,2900,2400,1900,2400,2400,2400,2400,2400,2400,2400,2400,2900,2900,2400,2400,2400,2400,1900,2400,1900,1900,1900,1600,1900,1600,1600,1600,1900,1600,1900,1900,1600,1600,1600,1300,1600,1600,1600,1300,1600
"2 by 2 photo",880,"stable -13%","-13%",36,"0.26","$0.00",No,"Contains: 2 by 2 · Length: Body (3–4 words) · Seasonality: Evergreen",1000,1000,1300,1000,880,1000,1000,1000,1000,1000,1000,1000,1000,1000,1600,1300,1000,1300,1300,1600,1300,1600,1300,1300,1000,1000,1300,1300,1000,1300,1300,1600,1300,1300,1000,1300,1000,1000,1000,880,720,1000,880,1000,1000,1000,880,720
"ai your photos",480,"declining -54%","-54%",19,"0.58","$0.01",No,"Length: Body (3–4 words) · Seasonality: Peaks in December",20,40,70,210,2900,590,480,390,590,590,720,720,720,590,1000,720,880,880,720,720,720,720,480,590,590,590,590,590,720,590,590,720,720,480,480,390,390,720,880,720,720,720,590,480,210,390,260,260
"ai upload photo",480,"declining -36%","-36%",23,"0.49","$0.01",No,"Length: Body (3–4 words) · Seasonality: Evergreen",30,40,70,110,390,210,260,260,320,320,390,320,260,260,390,390,390,320,260,320,260,320,260,210,320,320,390,390,390,320,260,320,480,480,480,390,320,480,720,590,590,480,320,480,320,390,320,260
"photos online free",320,"declining -34%","-34%",34,"0.19","$0.00",No,"Length: Body (3–4 words) · Seasonality: Evergreen",320,210,260,320,260,260,260,260,260,260,260,210,210,320,260,260,390,320,390,390,390,390,320,390,320,320,320,390,320,390,320,480,390,390,320,320,320,480,390,390,320,320,260,320,320,320,260,210
"photo bulk",70,"stable -16%","-16%",26,"0.15","$0.01",No,"Length: Head (1–2 words) · Seasonality: Evergreen",50,50,90,70,50,70,70,50,70,70,70,40,70,70,50,70,70,50,70,70,70,50,70,140,140,110,170,140,170,210,170,110,110,140,110,110,90,90,70,90,70,70,70,70,70,70,90,50
"use ai for free",320,"growing 165%","+165%",17,"0.59","$0.01",No,"Length: Body (3–4 words) · Seasonality: Evergreen",10,10,10,20,40,50,50,70,110,170,140,140,140,110,110,110,110,140,140,140,140,110,110,110,110,140,140,110,140,210,170,210,170,140,210,170,170,170,170,170,170,260,320,320,480,480,480,390
"upload your photo",880,"stable -14%","-14%",43,"0.12","$0.00",No,"Contains: your photo · Length: Body (3–4 words) · Seasonality: Peaks in October",480,480,480,480,480,480,390,480,390,480,390,390,480,480,2900,590,480,390,390,480,1600,720,590,480,390,390,390,390,390,480,390,590,480,590,720,590,720,1600,880,720,590,720,720,720,590,1000,880,880
"bulk photo editor",720,"stable -6%","-6%",30,"0.38","$0.01",No,"Contains: bulk photo editor · Length: Body (3–4 words) · Seasonality: Evergreen",480,480,480,480,480,590,480,590,590,720,590,720,720,720,880,720,720,880,880,880,880,880,720,880,880,880,880,1000,880,880,880,880,880,880,720,880,880,880,720,720,720,720,590,880,720,880,720,720
"exif data",14800,"stable -18%","-18%",69,"0.01","$0.00",No,"Contains: exif data · Length: Head (1–2 words) · Seasonality: Evergreen",33100,22200,27100,22200,22200,40500,27100,27100,27100,22200,22200,22200,22200,27100,27100,22200,22200,22200,22200,22200,22200,22200,18100,18100,18100,18100,18100,18100,18100,18100,14800,18100,18100,18100,14800,18100,18100,18100,18100,14800,14800,18100,14800,18100,18100,14800,14800,14800
"photo on photo",1900,"stable 9%","+9%",53,"0.03","$0.00",No,"Length: Body (3–4 words) · Seasonality: Evergreen",1300,1300,1300,1300,1300,1300,1000,1300,1600,1600,1300,1300,1600,1600,1600,1600,1600,1600,1600,1300,1900,1900,1900,1600,1600,1600,1600,1600,1600,1300,1600,1900,1900,1900,1900,1600,1900,1900,1900,1900,1900,1900,1600,1900,1900,1900,1900,2400
"ai my photo free",590,"growing 73%","+73%",18,"0.61","$0.01",No,"Length: Body (3–4 words) · Seasonality: Evergreen",10,10,0,10,90,110,140,170,260,320,390,390,390,390,720,720,720,1000,880,880,880,880,720,590,590,590,590,480,590,480,390,480,390,260,320,320,210,390,590,590,720,590,590,390,480,880,590,590
"exif photo",880,"declining -28%","-28%",48,"0.02","$0.00",No,"Length: Head (1–2 words) · Seasonality: Evergreen",1600,1300,1600,1600,1300,1900,1600,1300,1600,1600,1300,1300,3600,1900,1300,1600,1000,1300,1300,1300,1000,1300,1000,1000,1000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1000,1000,1000,1000,1000,1000,1000,1000,880,880,880,720,720,720
"photo batch",140,"stable -14%","-14%",35,"0.03","N/A",No,"Length: Head (1–2 words) · Seasonality: Peaks in November",110,140,110,90,140,140,90,140,110,320,140,90,110,480,110,1000,110,140,140,110,140,110,90,110,110,90,110,140,110,110,110,110,140,110,110,110,140,140,140,140,140,140,110,110,140,140,110,110
"watermark photos in bulk",260,"declining -22%","-22%",31,"0.23","$0.01",No,"Length: Body (3–4 words) · Seasonality: Evergreen",260,260,260,260,260,320,320,320,390,390,320,390,390,390,390,390,390,390,390,320,390,390,320,390,390,390,320,320,320,320,320,320,260,390,320,390,320,320,260,260,260,210,210,260,210,320,210,170
"free batch",590,"growing 308%","+308%",45,"0.03","$0.00",No,"Length: Head (1–2 words) · Seasonality: Peaks in June",390,320,320,390,320,320,260,260,260,260,260,260,260,260,260,210,320,320,260,260,320,260,320,320,260,260,260,210,260,210,260,320,320,320,320,320,320,320,390,260,390,390,320,390,720,1000,1600,1600
"ai free images",5400,"stable -7%","-7%",35,"0.44","$0.00",No,"Length: Body (3–4 words) · Seasonality: Evergreen",480,590,720,720,1900,1900,1900,2900,3600,4400,4400,4400,4400,4400,6600,6600,6600,8100,6600,6600,8100,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,5400,5400,5400,4400,5400,5400,5400,4400,5400,4400,5400,5400,5400,4400,4400
"photo resize free",8100,"stable 7%","+7%",48,"0.26","$0.00",No,"Length: Body (3–4 words) · Seasonality: Evergreen",2900,4400,5400,6600,5400,6600,6600,8100,6600,6600,6600,6600,6600,6600,9900,8100,6600,6600,6600,6600,5400,5400,5400,5400,4400,5400,8100,6600,6600,8100,8100,6600,6600,6600,6600,6600,8100,6600,6600,8100,8100,8100,8100,8100,6600,6600,8100,8100
"upload photo to ai",590,"stable -19%","-19%",26,"0.44","$0.01",No,"Contains: photo to · Contains: photo to ai · Length: Body (3–4 words) · Seasonality: Evergreen",10,20,40,70,170,110,90,170,260,260,260,320,260,170,260,320,390,390,320,390,390,390,320,320,320,390,390,390,480,480,390,390,480,590,480,480,320,720,880,880,1000,720,480,590,480,480,590,480
"photo ai tool",1900,"stable 17%","+17%",44,"0.2","$0.00",No,"Length: Body (3–4 words) · Seasonality: Peaks in October",20,40,50,70,140,260,480,590,880,1000,1600,1600,1600,1600,1300,1000,1300,1300,1000,1000,880,720,720,590,590,590,6600,4400,2400,2900,1900,1900,1300,880,1000,1000,1000,1900,2400,3600,2400,1000,880,880,480,2400,2900,880
"image tools",27100,"growing 44%","+44%",72,"0.02","$0.00",No,"Length: Head (1–2 words) · Seasonality: Peaks in February",6600,6600,6600,6600,5400,6600,6600,8100,6600,6600,8100,6600,6600,8100,8100,8100,6600,8100,8100,9900,8100,9900,8100,9900,9900,9900,14800,9900,9900,22200,33100,18100,18100,18100,18100,22200,22200,27100,22200,33100,27100,27100,49500,27100,22200,22200,40500,40500
"bulk photos",590,"stable -19%","-19%",42,"0.09","$0.01",No,"Length: Head (1–2 words) · Seasonality: Evergreen",720,590,720,590,590,590,590,720,720,880,1600,590,720,590,590,720,590,720,590,590,590,590,590,590,590,720,720,590,590,590,590,590,590,590,590,720,590,590,590,590,590,590,590,590,590,480,480,480
"ai tools for free",880,"stable 6%","+6%",20,"0.6","$0.01",No,"Length: Body (3–4 words) · Seasonality: Evergreen",20,20,20,50,90,210,260,260,390,480,480,590,590,590,590,590,590,590,720,720,720,720,720,720,590,720,720,720,1300,880,720,880,720,720,880,880,880,720,880,720,720,880,880,880,1000,880,880,880
"image resize free",60500,"stable 0%","0%",63,"0.21","$0.00",No,"Length: Body (3–4 words) · Seasonality: Evergreen",18100,22200,33100,33100,27100,33100,33100,33100,27100,27100,27100,27100,27100,33100,40500,33100,27100,33100,33100,33100,33100,33100,33100,40500,40500,40500,49500,49500,40500,49500,49500,49500,40500,49500,49500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500,60500
"fix a photo free",880,"stable 5%","+5%",19,"0.61","$0.01",No,"Length: Body (3–4 words) · Seasonality: Evergreen",320,390,390,390,480,390,320,390,480,590,590,480,590,480,590,480,590,480,590,590,720,720,720,590,590,590,590,590,720,590,590,720,720,880,880,880,880,880,880,880,1000,880,720,880,880,1000,880,880
"add gps to photo",70,"growing 35%","+35%",28,"0.1","$0.00",No,"Contains: to photo · Length: Body (3–4 words) · Seasonality: Evergreen",40,30,40,50,40,50,50,50,50,50,50,50,50,70,70,30,70,70,70,70,90,70,90,90,90,50,70,90,90,50,70,70,50,70,50,70,50,70,50,70,50,50,50,50,50,70,90,70
