Keyword,Volume,Trend,Growth %,SEO Score,Competition,Avg CPC,Branded,Topics,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026
"picture search",90500,"stable -18%","-18%",79,"0.04","$0.95",No,"Length: Head (1–2 words) · Seasonality: Evergreen",135000,135000,110000,110000,110000,110000,110000,135000,135000,135000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,135000,110000,110000,110000,110000,110000,110000,90500,110000,110000,110000,110000,110000,110000,90500,90500,90500,90500,90500,74000,90500,74000,90500,74000,74000
"find picture",9900,"stable 7%","+7%",65,"0.03","$0.85",No,"Length: Head (1–2 words) · Seasonality: Evergreen",12100,12100,12100,12100,9900,12100,9900,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,12100,9900,9900,9900,9900,9900,9900,8100,9900,9900,9900,9900,12100
"search location",2900,"stable 8%","+8%",53,"0.08","$0.35",No,"Contains: search location · Length: Head (1–2 words) · Seasonality: Evergreen",2900,2900,2900,2900,2900,3600,2900,3600,3600,3600,3600,3600,3600,3600,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,3600,2900,2900,2900,3600,3600,3600,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,3600,2900,2900
"location search",2900,"stable -11%","-11%",51,"0.11","$0.53",No,"Length: Head (1–2 words) · Seasonality: Evergreen",3600,3600,3600,3600,2900,3600,3600,3600,2900,3600,3600,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,3600,2900,2900,2900,2400,2900,2400,2400,2900,2900,2900,2900,3600,2900,2900,2900,2900,2900,2900,2900,2900,2400,2900,2900,2900,2400,2400
"photo image",22200,"stable -7%","-7%",70,"0.04","$2.18",No,"Length: Head (1–2 words) · Seasonality: Evergreen",27100,27100,27100,27100,27100,27100,22200,27100,27100,27100,22200,22200,22200,22200,22200,22200,22200,22200,22200,27100,22200,27100,27100,27100,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200,27100,22200,22200,22200,22200,22200,22200,22200,22200,22200,22200
"search engine online",1900,"declining -38%","-38%",52,"0.04","$2.67",No,"Contains: search engine · Contains: search engine online · Length: Body (3–4 words) · Seasonality: Peaks in November",1300,1300,1000,3600,1300,1900,1600,1600,1300,1600,1600,1300,1300,1600,1600,3600,1900,1900,1600,1600,1900,2400,1600,1600,1600,1600,1600,1600,2400,2900,1600,1600,2400,2400,1600,2400,2400,2400,2900,2900,2400,1900,1900,1900,1600,1600,1600,1600
"search engine ranking",1900,"declining -48%","-48%",52,"0.04","$5.83",No,"Contains: search engine · Length: Body (3–4 words) · Seasonality: Evergreen",5400,4400,6600,8100,6600,6600,8100,8100,6600,6600,6600,5400,5400,6600,8100,9900,8100,8100,6600,6600,8100,8100,6600,6600,6600,4400,4400,4400,4400,5400,6600,9900,9900,6600,2900,2400,2400,4400,1900,1600,1300,1600,2400,4400,1900,1600,1300,1600
"search photo online",12100,"stable -18%","-18%",63,"0.08","$0.99",No,"Contains: photo online · Contains: search photo · Length: Body (3–4 words) · Seasonality: Evergreen",9900,9900,9900,9900,9900,12100,9900,12100,12100,12100,12100,14800,12100,12100,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,18100,14800,14800,14800,14800,14800,14800,14800,14800,14800,12100,12100,14800,12100,12100,12100,12100,12100,12100
"website search tool",590,"declining -32%","-32%",41,"0.11","$10.00",No,"Contains: search tool · Length: Body (3–4 words) · Seasonality: Evergreen",1000,880,720,720,720,720,590,880,720,720,590,720,590,720,880,880,880,880,590,720,880,880,720,720,720,880,720,590,880,880,1000,1600,1300,1000,720,480,480,880,480,480,390,390,480,1000,1000,480,390,390
"image search engine",9900,"declining -29%","-29%",65,"0.03","$0.98",No,"Contains: search engine · Contains: image search · Contains: image search engine · Length: Body (3–4 words) · Seasonality: Peaks in January",14800,14800,12100,14800,12100,12100,12100,12100,12100,12100,14800,14800,12100,12100,12100,12100,12100,14800,12100,14800,14800,14800,14800,12100,12100,12100,12100,14800,49500,49500,12100,12100,12100,12100,12100,12100,9900,12100,12100,9900,9900,9900,8100,8100,8100,8100,8100,8100
"search engine websites",301000,"stable -6%","-6%",88,"0.04","$1.46",No,"Contains: search engine · Length: Body (3–4 words) · Seasonality: Evergreen",301000,301000,301000,368000,301000,368000,301000,368000,301000,301000,301000,301000,301000,368000,368000,368000,301000,368000,301000,301000,301000,368000,301000,301000,301000,301000,301000,301000,673000,823000,301000,301000,301000,301000,301000,301000,246000,301000,301000,301000,246000,301000,246000,301000,246000,301000,246000,246000
"seo search engine",60500,"declining -52%","-52%",59,"0.26","$4.88",No,"Contains: search engine · Length: Body (3–4 words) · Seasonality: Evergreen",110000,110000,110000,135000,110000,135000,135000,165000,135000,135000,110000,135000,110000,110000,135000,135000,135000,135000,135000,135000,135000,165000,135000,165000,110000,110000,135000,135000,165000,165000,165000,201000,165000,201000,110000,110000,90500,110000,74000,74000,49500,49500,49500,60500,49500,40500,49500,40500
"location information",1300,"stable 0%","0%",51,"0.02","$1.06",No,"Length: Head (1–2 words) · Seasonality: Evergreen",1600,1600,1600,1600,1300,1600,1600,1600,1300,1300,1600,1300,1300,1300,1600,1300,1300,1600,1300,1600,1600,1600,1600,1600,1600,1600,1600,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1600,1300,1300,1300,1300
"online search",4400,"declining -24%","-24%",60,"0.01","$4.35",No,"Contains: online search · Length: Head (1–2 words) · Seasonality: Evergreen",3600,4400,4400,3600,2900,3600,3600,4400,3600,4400,3600,3600,4400,4400,4400,3600,3600,4400,4400,4400,4400,5400,5400,4400,4400,4400,4400,4400,4400,5400,3600,5400,5400,6600,6600,6600,5400,4400,4400,5400,6600,6600,4400,4400,3600,3600,3600,3600
"web search engine",4400,"stable -11%","-11%",56,"0.08","$2.14",No,"Contains: search engine · Length: Body (3–4 words) · Seasonality: Evergreen",6600,6600,6600,6600,6600,6600,6600,8100,6600,6600,6600,5400,6600,9900,8100,8100,6600,6600,6600,5400,6600,6600,5400,5400,6600,4400,4400,5400,5400,5400,4400,5400,6600,6600,5400,4400,4400,5400,3600,3600,2900,6600,4400,4400,3600,5400,3600,2900
"image search online",6600,"declining -29%","-29%",60,"0.06","$0.77",No,"Contains: image search · Contains: search online · Length: Body (3–4 words) · Seasonality: Evergreen",6600,6600,9900,5400,6600,6600,6600,6600,8100,8100,6600,8100,8100,8100,8100,8100,8100,9900,8100,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,12100,12100,8100,8100,6600,6600,8100,6600,8100,5400,5400,5400,5400,4400,5400
"search ranking",2400,"stable 3%","+3%",52,"0.07","$7.52",No,"Length: Head (1–2 words) · Seasonality: Peaks in March",2400,2400,2400,3600,2900,3600,3600,5400,4400,4400,2900,2900,2900,3600,4400,3600,2900,2400,2400,2900,2900,3600,2400,2400,2400,1900,1900,1900,1900,2400,2900,4400,4400,4400,2400,1600,1900,1300,880,590,590,720,6600,8100,1600,1600,1000,1600
"look up photo",135000,"stable -18%","-18%",82,"0.04","$0.98",No,"Length: Body (3–4 words) · Seasonality: Evergreen",165000,165000,165000,165000,165000,165000,135000,165000,165000,201000,201000,201000,201000,165000,165000,165000,165000,165000,165000,165000,165000,201000,201000,201000,201000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,135000,165000,135000,135000,135000,135000,135000,135000
"find engine",140,"growing 50%","+50%",25,"0.3","$1.73",No,"Length: Head (1–2 words) · Seasonality: Evergreen",140,140,140,140,140,170,110,140,140,210,170,140,170,110,110,170,110,170,170,140,170,170,170,170,140,170,140,140,210,140,110,170,110,110,110,90,140,110,110,90,70,110,110,140,110,110,170,260
"search seo",590,"stable 17%","+17%",36,"0.22","$9.39",No,"Length: Head (1–2 words) · Seasonality: Evergreen",1000,720,1000,1300,880,1000,1000,1300,2400,1300,880,880,880,880,880,880,880,720,720,720,880,880,880,720,720,880,720,720,880,880,880,1000,1000,1300,720,720,590,480,590,390,720,720,720,720,590,880,480,590
"search web for image",3600,"declining -24%","-24%",56,"0.05","$1.00",No,"Contains: for image · Contains: search web · Length: Body (3–4 words) · Seasonality: Evergreen",3600,3600,3600,3600,3600,4400,3600,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,5400,4400,4400,4400,4400,4400,4400,4400,4400,4400,5400,5400,4400,4400,4400,4400,4400,3600,3600,3600,3600,2900,3600,2900,3600,2900,2900
"a search engine",480,"declining -24%","-24%",43,"0.03","$5.65",No,"Contains: search engine · Length: Body (3–4 words) · Seasonality: Evergreen",480,590,590,1000,1000,880,720,880,880,1000,880,590,480,590,590,720,590,720,590,720,590,590,590,480,390,590,590,590,590,720,720,880,720,720,480,480,390,590,590,720,590,590,590,590,480,480,390,320
"the search engine",320,"stable -7%","-7%",41,"0.01","N/A",No,"Contains: search engine · Length: Body (3–4 words) · Seasonality: Peaks in November",590,480,390,1900,720,880,480,480,320,590,320,320,320,390,480,1900,880,880,480,480,320,590,320,390,390,320,390,480,480,390,320,480,720,480,390,390,260,390,320,320,320,320,390,390,320,320,260,320
"find images online",12100,"stable -18%","-18%",63,"0.08","$0.99",No,"Length: Body (3–4 words) · Seasonality: Evergreen",9900,9900,9900,9900,9900,12100,9900,12100,12100,12100,12100,14800,12100,12100,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,14800,18100,14800,14800,14800,14800,14800,14800,14800,14800,14800,12100,12100,14800,12100,12100,12100,12100,12100,12100
"seo image",8100,"declining -39%","-39%",64,"0.02","$5.54",No,"Length: Head (1–2 words) · Seasonality: Evergreen",8100,9900,8100,9900,8100,9900,9900,12100,9900,12100,9900,9900,9900,12100,12100,9900,9900,9900,12100,12100,9900,12100,9900,12100,12100,12100,12100,12100,12100,12100,14800,14800,18100,14800,9900,9900,8100,12100,6600,5400,5400,12100,8100,9900,6600,6600,4400,5400
"finding location",12100,"stable 7%","+7%",59,"0.14","$0.78",No,"Length: Head (1–2 words) · Seasonality: Evergreen",9900,8100,8100,8100,8100,9900,8100,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,12100,12100,12100,12100,9900,9900,9900,9900,12100,12100,12100,12100,14800,18100,9900,12100,12100,12100,12100,12100,12100,12100,14800,18100,12100,12100,14800
"search and image",90500,"stable -18%","-18%",79,"0.04","$0.95",No,"Length: Body (3–4 words) · Seasonality: Evergreen",135000,135000,110000,110000,110000,110000,110000,135000,135000,135000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,135000,110000,110000,110000,110000,110000,110000,90500,110000,110000,110000,110000,110000,110000,90500,90500,90500,90500,90500,74000,90500,74000,90500,74000,74000
"find photos of",20,"growing 33%","+33%",22,"0","N/A",No,"Length: Body (3–4 words) · Seasonality: Evergreen",20,10,10,20,20,10,10,20,20,10,20,20,10,10,10,10,20,10,10,20,10,20,10,10,20,10,10,10,10,10,10,10,10,20,10,30,10,20,30,20,20,20,40,20,20,30,30,20
"search web with photo",1000,"stable -15%","-15%",46,"0.08","$1.01",No,"Contains: with photo · Contains: search web · Length: Body (3–4 words) · Seasonality: Evergreen",1300,1300,1300,1300,1300,1300,1300,1600,1600,1600,1600,1600,1900,1600,1900,1900,1900,1900,1600,1900,1900,1900,1900,1900,1600,1600,1600,1600,1600,1900,1600,1600,1900,1600,1600,1600,1300,1300,1300,1300,1300,1300,1000,1300,1000,1000,1000,1300
"photo find photo",10,"stable 0%","0%",17,"0","N/A",No,"Contains: find photo · Length: Body (3–4 words) · Seasonality: Evergreen",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10
"geotag search",1900,"stable 6%","+6%",54,"0.01","$2.52",No,"Length: Head (1–2 words) · Seasonality: Evergreen",1900,1300,1300,1600,1300,2400,2400,2900,1900,1900,1900,1900,1900,1900,2400,1900,2400,2400,2400,2900,2400,2900,2400,2400,2400,2900,3600,2400,1900,2400,2400,2400,2400,1900,1900,1900,1600,1600,1600,1600,1600,1900,1600,1900,1900,1900,1600,1600
"photo find online",10,"growing 20%","+20%",14,"0.18","N/A",No,"Length: Body (3–4 words) · Seasonality: Peaks in May",10,10,10,10,20,10,10,10,10,20,10,10,10,10,10,20,20,10,20,30,20,20,20,10,20,10,20,20,20,20,10,10,20,20,20,10,20,10,20,10,10,20,10,10,10,30,20,10
"search location from photo",480,"declining -31%","-31%",44,"0.01","$0.48",No,"Contains: search location · Contains: from photo · Length: Body (3–4 words) · Seasonality: Evergreen",210,210,210,170,170,170,210,210,320,260,260,390,320,320,260,210,260,320,320,390,480,480,480,590,590,480,590,480,590,590,590,880,720,720,590,590,720,720,390,390,480,480,390,590,390,390,390,480
"find pic",1900,"stable 6%","+6%",54,"0.02","$0.46",No,"Length: Head (1–2 words) · Seasonality: Evergreen",1900,1600,1600,1600,1600,1600,1600,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,2400,1900,1900,1900,1900,1900,1900,2400,2400,1900,1900,1900,1900,1900,1900,1900,1900,1600,1900,1600,1900,1900,1900,1900,1900,1900,1900
"search location of photo",20,"declining -40%","-40%",22,"0","N/A",No,"Contains: search location · Length: Body (3–4 words) · Seasonality: Evergreen",20,20,20,10,10,20,20,20,20,10,20,10,20,20,20,20,20,20,20,30,20,10,40,20,30,20,30,20,20,30,20,10,20,10,10,10,20,10,20,20,20,20,20,20,10,10,10,10
"search location with photo",20,"stable -14%","-14%",21,"0.03","N/A",No,"Contains: with photo · Contains: search location · Length: Body (3–4 words) · Seasonality: Evergreen",30,20,30,20,20,20,30,30,30,20,30,20,20,30,30,20,30,40,30,40,40,70,40,40,50,40,40,40,30,30,40,40,30,40,30,30,20,30,20,20,20,30,10,30,20,20,20,20
"find it photos",50,"growing 30%","+30%",28,"0.02","N/A",No,"Length: Body (3–4 words) · Seasonality: Evergreen",20,20,20,30,30,40,30,20,30,40,30,20,10,50,20,20,20,20,20,10,20,30,10,20,20,30,30,20,40,30,30,40,20,30,20,30,40,30,30,40,50,50,90,50,50,50,40,40
"find image from photo",390,"declining -57%","-57%",41,"0.06","$0.51",No,"Contains: from photo · Contains: image from photo · Length: Body (3–4 words) · Seasonality: Evergreen",480,480,480,480,480,390,390,480,480,390,480,480,390,260,480,480,480,480,320,320,320,320,480,480,480,480,480,480,590,590,480,320,390,390,590,590,590,590,390,390,480,390,390,320,320,260,210,210
"location search by photo",480,"declining -31%","-31%",44,"0.01","$0.48",No,"Contains: by photo · Contains: search by · Length: Body (3–4 words) · Seasonality: Evergreen",210,210,210,170,170,170,210,210,320,260,260,390,320,320,260,210,260,320,320,390,480,480,480,590,590,480,590,480,590,590,590,880,720,720,590,590,720,720,390,390,480,480,390,590,390,390,390,480
"online search photo",20,"declining -38%","-38%",21,"0.05","N/A",No,"Contains: search photo · Contains: online search · Length: Body (3–4 words) · Seasonality: Evergreen",20,40,30,20,20,20,20,30,30,30,30,30,30,30,20,30,30,30,20,30,30,20,20,20,20,30,30,30,40,40,50,40,30,30,10,30,20,40,20,30,10,20,10,20,20,10,20,20
"search location with image",30,"declining -50%","-50%",24,"0.04","N/A",No,"Contains: search location · Length: Body (3–4 words) · Seasonality: Evergreen",20,20,30,20,10,20,10,40,30,40,20,40,40,30,30,30,30,30,40,40,40,30,50,40,40,40,40,70,50,70,50,50,50,70,50,30,50,30,20,20,30,30,30,30,20,20,10,20
"online search websites",70,"declining -26%","-26%",29,"0.06","$1.72",No,"Contains: online search · Length: Body (3–4 words) · Seasonality: Evergreen",20,40,40,70,50,50,30,50,70,70,70,70,70,50,50,50,70,90,90,110,70,70,110,70,70,70,70,70,50,50,40,50,90,50,40,40,70,90,70,50,50,70,40,70,70,50,50,70
"search engine location",50,"stable -18%","-18%",28,"0.03","N/A",No,"Contains: search engine · Length: Body (3–4 words) · Seasonality: Evergreen",30,50,40,90,50,70,90,70,140,110,70,70,70,90,90,70,20,40,30,40,40,50,30,50,30,30,40,40,30,30,40,70,90,110,50,50,50,50,70,50,70,30,30,40,30,50,50,40
"find who is in the photo",10,"stable 0%","0%",13,"0.24","N/A",No,"Length: Long tail (5+ words) · Seasonality: Peaks in February",20,30,10,30,30,20,30,30,20,20,20,20,20,30,10,30,20,20,30,20,10,20,10,20,10,20,30,20,20,20,20,20,20,20,10,10,10,10,10,10,10,10,30,10,10,10,10,10
"find by photo online",20,"declining -70%","-70%",13,"0.39","N/A",No,"Contains: by photo · Contains: photo online · Length: Body (3–4 words) · Seasonality: Peaks in May",30,30,20,20,20,30,20,20,30,50,70,50,50,70,70,50,40,50,50,50,50,70,70,50,40,50,40,40,40,20,40,50,40,110,70,50,50,20,30,20,30,10,10,20,10,10,10,10
"image of a photo",390,"growing 30%","+30%",41,"0.05","N/A",No,"Contains: a photo · Length: Body (3–4 words) · Seasonality: Evergreen",140,140,140,210,210,210,210,170,170,170,170,170,170,170,170,210,140,260,210,170,170,170,170,210,170,170,210,320,260,210,170,210,260,210,260,260,260,390,390,320,390,390,390,390,390,480,390,480
"search who is in the photo",20,"declining -50%","-50%",15,"0.3","$1.30",No,"Contains: search who is · Length: Long tail (5+ words) · Seasonality: Evergreen",20,20,30,20,30,40,40,40,40,30,30,50,40,40,50,30,30,30,40,30,40,10,40,20,40,50,30,30,10,20,20,40,20,40,30,10,30,20,30,20,20,20,10,10,10,10,10,20
"photo search location",480,"declining -31%","-31%",44,"0.01","$0.48",No,"Contains: photo search · Contains: search location · Length: Body (3–4 words) · Seasonality: Evergreen",210,210,210,170,170,170,210,210,320,260,260,390,320,320,260,210,260,320,320,390,480,480,480,590,590,480,590,480,590,590,590,880,720,720,590,590,720,720,390,390,480,480,390,590,390,390,390,480
"photograph search engine",6600,"declining -28%","-28%",59,"0.07","$0.98",No,"Contains: search engine · Length: Body (3–4 words) · Seasonality: Evergreen",8100,9900,9900,9900,9900,12100,12100,12100,9900,9900,9900,9900,9900,9900,12100,8100,9900,9900,9900,9900,8100,9900,8100,8100,8100,8100,8100,8100,9900,9900,8100,9900,8100,8100,8100,8100,8100,8100,8100,6600,6600,6600,6600,6600,5400,5400,5400,6600
"image on photo",20,"growing 20%","+20%",22,"0.02","N/A",No,"Length: Body (3–4 words) · Seasonality: Evergreen",20,20,20,20,30,20,20,20,20,30,10,20,20,20,20,20,20,30,30,10,20,20,20,10,20,10,20,20,20,30,20,20,10,20,20,20,20,10,20,20,20,20,30,10,20,20,10,30
"image from photo",74000,"stable -13%","-13%",74,"0.09","$1.75",No,"Contains: from photo · Contains: image from photo · Length: Body (3–4 words) · Seasonality: Evergreen",246000,201000,165000,135000,110000,165000,165000,201000,110000,110000,74000,74000,74000,74000,74000,74000,90500,90500,90500,90500,110000,135000,110000,90500,90500,90500,110000,90500,90500,90500,74000,90500,90500,90500,74000,90500,74000,90500,90500,90500,74000,90500,74000,74000,74000,74000,74000,74000
"images image",1000,"stable 18%","+18%",50,"0.01","$3.05",No,"Length: Head (1–2 words) · Seasonality: Evergreen",720,720,720,880,880,1000,880,1000,1000,1000,720,720,880,880,880,880,590,720,720,880,880,720,590,590,590,720,720,720,720,720,720,880,1000,1000,880,720,1000,1300,1000,1000,1000,1000,1000,1000,1000,1300,1300,1300
"image with photo",20,"stable -17%","-17%",17,"0.22","N/A",No,"Contains: with photo · Length: Body (3–4 words) · Seasonality: Peaks in August",50,30,50,40,30,10,10,10,30,10,20,20,50,20,20,30,30,30,30,20,30,20,30,30,30,30,40,40,40,30,20,20,30,20,20,20,20,20,20,10,10,20,10,20,10,10,20,20
"the search tool",10,"declining -25%","-25%",17,"0","N/A",No,"Contains: search tool · Length: Body (3–4 words) · Seasonality: Peaks in July",10,20,10,10,10,10,10,10,10,20,10,20,30,20,10,10,0,10,10,10,10,30,20,30,10,20,10,10,10,10,10,10,10,10,10,20,20,10,10,10,10,10,10,10,10,10,10,10
"search for this photo online",20,"growing 100%","+100%",19,"0.13","$0.98",No,"Contains: search for · Contains: photo online · Length: Long tail (5+ words) · Seasonality: Evergreen",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,20,10,10,20,20,30,30
"search with photo online",30,"stable 0%","0%",20,"0.21","$0.94",No,"Contains: with photo · Contains: photo online · Contains: search with · Contains: search with photo · Length: Body (3–4 words) · Seasonality: Evergreen",20,20,30,20,20,20,20,30,30,20,20,20,20,40,20,30,20,50,50,30,40,30,30,20,40,50,40,30,40,30,20,20,30,50,10,10,10,20,20,40,50,40,40,30,30,20,10,20
"image by photo",10,"stable 0%","0%",17,"0","N/A",No,"Contains: by photo · Length: Body (3–4 words) · Seasonality: Evergreen",10,10,10,10,10,10,20,20,10,10,20,10,20,20,20,10,10,10,20,20,10,20,10,20,30,20,30,30,20,40,20,20,50,30,10,10,10,10,10,20,20,20,10,10,10,10,10,10
"photo search websites",480,"declining -42%","-42%",41,"0.08","$0.95",No,"Contains: photo search · Length: Body (3–4 words) · Seasonality: Evergreen",590,480,480,480,390,480,480,590,590,590,720,590,590,720,720,720,590,590,720,720,590,880,720,720,720,590,720,720,720,880,720,720,880,720,590,720,590,590,480,480,480,480,390,390,390,320,320,320
"photo search engine online",10,"declining -57%","-57%",17,"0","N/A",No,"Contains: search engine · Contains: photo search · Contains: search engine online · Length: Body (3–4 words) · Seasonality: Peaks in June",10,10,20,10,10,20,20,10,30,30,90,30,20,40,30,20,10,30,30,20,20,20,20,20,50,10,20,20,10,10,20,10,20,20,10,10,20,20,30,10,10,10,10,10,10,10,10,10
"search about photo",30,"declining -22%","-22%",24,"0.05","N/A",No,"Length: Body (3–4 words) · Seasonality: Evergreen",30,50,40,70,50,70,50,30,40,70,50,70,70,70,70,70,70,50,50,40,40,90,40,50,40,40,30,50,40,30,40,30,40,30,30,30,30,30,30,30,20,20,20,20,40,30,30,10
